Timestamp,Latency (ms)
2025-04-30 14:24:46.126478,1882
2025-04-30 14:24:47.578894,333
2025-04-30 14:24:48.556617,1309
2025-04-30 14:24:49.133793,1892
2025-04-30 14:24:50.140852,2898
2025-04-30 14:24:51.634569,1386
2025-04-30 14:24:52.255243,1909
2025-04-30 14:24:53.523497,269
2025-04-30 14:24:54.194265,908
2025-04-30 14:24:55.218000,922
2025-04-30 14:24:56.243280,917
2025-04-30 14:24:57.522661,276
2025-04-30 14:24:58.185334,924
2025-04-30 14:24:59.201747,959
2025-04-30 14:25:00.527131,1928
2025-04-30 14:25:01.176047,929
2025-04-30 14:25:02.219391,950
2025-04-30 14:25:03.219915,945
2025-04-30 14:25:04.193443,949
2025-04-30 14:25:05.186710,945
2025-04-30 14:25:06.188178,938
2025-04-30 14:25:07.249514,981
2025-04-30 14:25:08.190284,947
2025-04-30 14:25:09.249040,1961
2025-04-30 14:25:10.216815,2973
2025-04-30 14:25:11.244027,991
2025-04-30 14:25:12.313170,967
2025-04-30 14:25:13.212019,969
2025-04-30 14:25:14.585566,-20
2025-04-30 14:25:15.284616,974
2025-04-30 14:25:16.234386,989
2025-04-30 14:25:17.331116,984
2025-04-30 14:25:18.226977,1984
2025-04-30 14:25:19.768198,1530
2025-04-30 14:25:20.302241,1989
2025-04-30 14:25:21.255618,998
2025-04-30 14:25:22.588670,986
2025-04-30 14:25:23.245870,998
2025-04-30 14:25:24.244276,999
2025-04-30 14:25:25.260943,1017
2025-04-30 14:25:26.268944,1018
2025-04-30 14:25:27.303278,1013
2025-04-30 14:25:28.324273,1082
2025-04-30 14:25:29.261095,2022
2025-04-30 14:25:30.256559,1015
2025-04-30 14:25:31.259474,1014
2025-04-30 14:25:32.310040,1067
2025-04-30 14:25:33.281774,33
2025-04-30 14:25:34.284534,1026
2025-04-30 14:25:35.263690,1022
2025-04-30 14:25:36.278934,1032
2025-04-30 14:25:37.405253,1065
2025-04-30 14:25:38.332367,1045
2025-04-30 14:25:39.287629,2037
2025-04-30 14:25:40.381178,3059
2025-04-30 14:25:41.304499,4060
2025-04-30 14:25:42.422961,5060
2025-04-30 14:25:43.312049,1063
2025-04-30 14:25:44.333492,2078
2025-04-30 14:25:45.390128,1077
