Timestamp,Latency (ms)
2025-04-30 15:23:30.393357,817
2025-04-30 15:23:31.309838,1052
2025-04-30 15:23:31.872179,660
2025-04-30 15:23:33.257712,689
2025-04-30 15:23:34.212853,993
2025-04-30 15:23:35.198037,984
2025-04-30 15:23:36.196190,1986
2025-04-30 15:23:36.846993,635
2025-04-30 15:23:37.859751,1648
2025-04-30 15:23:39.393592,744
2025-04-30 15:23:39.862240,1646
2025-04-30 15:23:40.878792,2653
2025-04-30 15:23:41.935955,665
2025-04-30 15:23:43.285398,653
2025-04-30 15:23:43.889739,1680
2025-04-30 15:23:44.926845,666
2025-04-30 15:23:46.217913,2007
2025-04-30 15:23:46.900853,682
2025-04-30 15:23:47.896337,1686
2025-04-30 15:23:49.263903,2678
2025-04-30 15:23:49.898570,3690
2025-04-30 15:23:50.879794,671
2025-04-30 15:23:51.907295,694
2025-04-30 15:23:52.904198,691
2025-04-30 15:23:53.909896,1699
2025-04-30 15:23:54.919825,707
2025-04-30 15:23:55.912692,1701
2025-04-30 15:23:56.922970,2710
2025-04-30 15:23:57.938344,3713
2025-04-30 15:23:58.923356,711
2025-04-30 15:23:59.944132,726
2025-04-30 15:24:01.008246,705
2025-04-30 15:24:02.026501,714
2025-04-30 15:24:02.993517,783
2025-04-30 15:24:03.969649,725
2025-04-30 15:24:04.942112,727
2025-04-30 15:24:06.399939,134
2025-04-30 15:24:07.013076,800
2025-04-30 15:24:07.946536,733
2025-04-30 15:24:08.956297,741
2025-04-30 15:24:09.997091,1777
2025-04-30 15:24:11.147911,2755
2025-04-30 15:24:12.478518,1182
2025-04-30 15:24:12.957102,1746
2025-04-30 15:24:14.006125,2762
2025-04-30 15:24:14.978438,770
2025-04-30 15:24:15.979493,1763
2025-04-30 15:24:17.000171,788
2025-04-30 15:24:18.004260,782
2025-04-30 15:24:19.331090,1758
2025-04-30 15:24:20.049524,791
2025-04-30 15:24:21.075886,786
2025-04-30 15:24:22.096826,782
2025-04-30 15:24:23.004185,796
2025-04-30 15:24:24.041274,799
2025-04-30 15:24:25.066207,789
2025-04-30 15:24:26.094010,806
2025-04-30 15:24:27.218609,936
2025-04-30 15:24:28.023070,804
2025-04-30 15:24:29.017926,806
